mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.28883570432662964,0.05259314590861965,0.11483895778656006,0.03033078348404686,balanced,1,1,2,30,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 30}",0.6189174047107264,0.6194263145878695,0.6286509270018454,0.6318879155902657,0.6247206404726767,0.005668430485943489,100
0.4096415042877197,0.09722536496807149,0.13547509908676147,0.02870052118778458,balanced,1,1,2,50,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.6457853349545697,0.6449196859287847,0.6536704366662538,0.6604197505483882,0.6511988020244991,0.006321941832680929,91
0.6675264239311218,0.08995654969467899,0.23198556900024414,0.09582419879616771,balanced,1,1,2,100,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6456679651494734,0.6446303461444332,0.6538088487762787,0.6607180662878738,0.6512063065895148,0.006541469255354055,82
0.27875959873199463,0.07183553289929777,0.16257548332214355,0.03344690264897934,balanced,1,1,5,30,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 30}",0.6189174047107264,0.6194263145878695,0.6286509270018454,0.6318879155902657,0.6247206404726767,0.005668430485943489,100
0.4099646806716919,0.0813357620134826,0.21418112516403198,0.06353005520859605,balanced,1,1,5,50,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6457853349545697,0.6449196859287847,0.6536704366662538,0.6604197505483882,0.6511988020244991,0.006321941832680929,91
0.6611337661743164,0.11779235978898586,0.22090601921081543,0.07697653663814419,balanced,1,1,5,100,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6456679651494734,0.6446303461444332,0.6538088487762787,0.6607180662878738,0.6512063065895148,0.006541469255354055,82
0.46248650550842285,0.06211135317673899,0.18979007005691528,0.06522747804746373,balanced,1,1,10,30,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 30}",0.6189174047107264,0.6194263145878695,0.6286509270018454,0.6318879155902657,0.6247206404726767,0.005668430485943489,100
0.45520466566085815,0.11213197581354196,0.18588751554489136,0.059439461052771286,balanced,1,1,10,50,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.6457853349545697,0.6449196859287847,0.6536704366662538,0.6604197505483882,0.6511988020244991,0.006321941832680929,91
0.6230410933494568,0.13461439956463328,0.1871599555015564,0.05898377960833602,balanced,1,1,10,100,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6456679651494734,0.6446303461444332,0.6538088487762787,0.6607180662878738,0.6512063065895148,0.006541469255354055,82
0.34369438886642456,0.0810201709128383,0.13258004188537598,0.02895979913384925,balanced,1,2,2,30,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 30}",0.6189174047107264,0.6194263145878695,0.6286509270018454,0.6318879155902657,0.6247206404726767,0.005668430485943489,100
0.4498814344406128,0.0704151164339337,0.21991539001464844,0.05843213802884272,balanced,1,2,2,50,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.6457853349545697,0.6449196859287847,0.6536704366662538,0.6604197505483882,0.6511988020244991,0.006321941832680929,91
0.6475245952606201,0.07398125802455896,0.16672945022583008,0.03237386262422997,balanced,1,2,2,100,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6456679651494734,0.6446303461444332,0.6538088487762787,0.6607180662878738,0.6512063065895148,0.006541469255354055,82
0.3732547163963318,0.041780315186680246,0.14437007904052734,0.07361631056110023,balanced,1,2,5,30,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 30}",0.6189174047107264,0.6194263145878695,0.6286509270018454,0.6318879155902657,0.6247206404726767,0.005668430485943489,100
0.3941693902015686,0.05582871797299478,0.20250475406646729,0.06118475827790678,balanced,1,2,5,50,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6457853349545697,0.6449196859287847,0.6536704366662538,0.6604197505483882,0.6511988020244991,0.006321941832680929,91
0.6252371072769165,0.054018359029374005,0.17912089824676514,0.03416865983901117,balanced,1,2,5,100,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6456679651494734,0.6446303461444332,0.6538088487762787,0.6607180662878738,0.6512063065895148,0.006541469255354055,82
0.3191556930541992,0.10024732335920591,0.22125065326690674,0.07097064013251485,balanced,1,2,10,30,"{'class_weight': 'balanced', 'max_depth': 1, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 30}",0.6189174047107264,0.6194263145878695,0.6286509270018454,0.6318879155902657,0.6247206404726767,0.005668430485943489,100
